,id,Brown Dwarf,Constellation,Right Ascension,Declination,Apparent Magnitude,Distance,Spectral Type,Mass,Radius,Date Discovered,name,dist,mass,rad,lum
26,26,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,,111.0,T4.5,4.829860999999999,0.00092595036,,Bellatrix,0240,8.6,5.8,"9,200"
27,27,2MASS J02103857-3015313,,2h 10m 38.57s,−30° 15′ 31.3″,,101.0,L0γ,1.541445,0.00146051964,,Elnath,0130,5.0,4.2,700
28,28,2MASS J02340093-6442068,,2h 34m 0.93s,−64° 42′ 6.8″,,155.0,L0γ,2.0552599999999996,0.00154643256,,Miaplacidus,0110,3.5,6.8,290
29,29,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,,152.0,L0γ,2.7746009999999997,0.00134596908,,Alnilam,"2,000",32,42,"380,000"
30,30,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,,35.0,T6,3.3911789999999997,0.0009450421200000001,2002.0,Gamma Velorum,"01,100",9.0,6,"170,000"
31,31,LP 771-21,,2h 48m 41s,−16° 51′ 21.6″,,53.0,M8,8.015514,0.0010309550400000001,,Alnair,0101,4.0,3.4,260
32,32,2MASS J02511327+0047364,,2h 51m 13.27s,−0° 47′ 36.4″,,,M8,,,,Alioth,0081,2.9,4.2,110
33,33,2MASS J02535980+3206373,,2h 53m 59.8s,32° 6′ 37.3″,,184.0,M7β,6.679595,0.0018137172,,Alnitak,01050,33,20,"120,000"
34,34,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,16.01,24.0,T8,6.679595,0.0018137172,,Dubhe,0120,4.25,30,300
35,35,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,22.92,16.2,L8,8.221039999999999,0.00092595036,2006.0,Mirfak,0590,8.5,68,"5,000"
36,36,2MASS J03185403-3421292 [de],Fornax,3h 18m 54.03s,−34° 21′ 29.2″,,45.0,L7,5.035387,0.00092595036,2008.0,Wezen,"1,600",17,200,"82,000"
